,Sentences,,,
1,"Noonish if you have
Do you know how long it would be? I don't mind dropping it off during the week either",,,
2,"In the morning, any time from 9:00-11:00. How long does it take?",,,
3,"Sorry , how long is the time for the scheduled repair? Maybe we can do this Saturday, to around 9 in the morning?",,,
4,Fri 2/2 how long will appt take?,,,
5,9am? Can I wait for the car and if so how long should I expect to wait?,,,
6,Can I schedule for 31st? How long is appointment? 11am?,,,
7,"OK, Sometime rhat week, mornings preferred after 9 AM. I plan to wait for it. How long does it take?",,,
8,"how long would it take?
also, is it possible to schedule on a thursday or friday? or the weekend",,,
9,How long would it usually take? It also depends on the day. Do I have to come and check before/on Mar 13th?,,,
10,Good morning. I will be out of town that week. We can schedule something for the week of March 18. How long should I plan for the appointment?,,,
11,"Hi Ana. I just picked my laptop yesterday from the repair shop. I am still under 5 year warranty at this time. The next available Sat I will have open will be 3/9, can we set up for that day? How long would this normally take?",,,
12,"Hi Ana, sorry for late response. I would like to have the schedule on Mar 20th. How long does it take to complete? If possible, please let me have it at 2pm.",,,
13,Someone just called me from the shop and made an appointment over the phone for Friday at 7:15am. Thank you so much.,,,
14,I made an appointment on the 3rd Feb 2023,,,
15,Ana this is Sharon I was in Danvers and made an appointment for Thursday February 1st at 11:30.,,,
16,"Thanks for the reminders Ana we appreciate it but us old folks do not enjoy to communicate as messaging so kindly stop or opt out of texting ok.
I did call though and made an appointment for March 28 at 11:00. Enjoy your day !!!!!!! 
Frank & Dot",,,
17,"I made an appointment through Annalise for March 7, 2024 at 9:30AM. Thank you!+",,,
18,Hi Ana. I was contacted this week from someone else and made an appointment for this Saturday.,,,
19,Hi Ana! I have only been using it for 10 months. Yesterday I made an appointment for 1/22 at 7 am.,,,
20,I made an appointment for next Friday at 12. Thank you,,,
21,"Ana
I made an online appointment for Tuesday January 30th at 11am. This was for 5 year service and fixing one recall problem. I never received an 
email confirmation. Could you verify that I'm all set for this appointment? Also , how long will this maintenance and recall item take?
Bob",,,
22,I hi already made an appointment for today at 3:30 thank you,,,
23,Hi! I already made an appointment for February 6th at 1 pm,,,
24,"I made an appointment yesterday for Tuesday, January 30 at 5 PM. Would that be too late to get it done Tuesday afternoon? I just need hard 
drive changed and monitor cleaned, and put additional RAM",,,
25,11k+ and I have an appointment on Saturday,,,
26,"Ana, I have an appointment for March 23",,,
27,"8910, I have an appointment for service toward the end of April",,,
28,"Ana, I have an appointment Thursday 25th 12:00 noon 
Thanks",,,
29,"Ana, I now have a Lenovo Thinkpad X1 that I purchased in Dec 2023.
I called service department and have an appointment for first service on May 8th. 
You can text me anytime you want to.
Thank You",,,
30,"Have booked an appointment online for Monday. 
Thank you",,,
31,Hello Ana. I've already scheduled the 5 year service online for June 1st,,,
32,,,,